BEZ,PREIS1
Hebebuehne PKW,"13,00/h"
Hebebuehne LLKW,"18,00/h"
Arbeitsplatz,"8,50/h"
Schweissger MIG,"12,50/h"
Muell,"2,50"
Reinigung,"10,00"
PKWTagespausch,"104,00"
LLKWTagespausch,"144,00"
Altreifen1,"6,00"
Altreifen4,"24,00"
Auswuchtgewichte,"1,50"
Auswuchtzange,"1,20"
Dre-Mo Schluessel,"1,80"
FelgenKnacker,"7,00"
Luftschlauch,"1,60"
Montier-Set Reifen,"2,40"
Montierhebel,"1,20"
Montiermaschine 1x,"3,50"
Montiermaschine 4x,"14,00"
Nuss 17,"1,40"
Nuss 19,"1,40"
Nuss 21,"1,40"
Nuss 22,"1,40"
Reifenfueller,"1,60"
Reifenrep Set DYS,"15,00"
Reifenventil,"0,80"
Reifenventil-Koffer,"5,00"
Reifenwulstsetzer,"5,00"
Schlag + Schlauch,"4,00"
Schlagschrauber,"3,60"
Wuchtmaschine 1x,"4,00"
Wuchtmaschine 4x,"16,00"
Boerdelgeraet,"7,00"
BR-Biege-Zange,"3,60"
Br-Schluessel 10/11,"2,40"
Br-Schluessel 12/13,"2,40"
Br-Schluessel 14/15,"2,40"
Br-Schluessel 16/17,"2,40"
Br-Schluessel 18/19,"2,40"
Br-Schluessel 8/9,"2,40"
Brem Entluefter + Ad,"10,00"
Bremsenentluefter Fl,"2,00"
Bremsfederdruecker,"2,40"
Bremsfederzange,"5,00"
BremsflEnt,"4,00"
Bremsfl Tester,"2,40"
Bremskolbenrueck,"4,00"
Bremspedalhalter,"4,00"
Bremsfeile,"1,60"
Bremssattelhaken,"2,00"
Bremsscheibmess,"2,50"
Bremsschlklemme Gr,"2,00"
Bremsschlklemme Kl,"2,00"
Drahtbuerste,"1,60"
FBremse Anlernen,"30,00"
Offener Ring 10/11,"2,40"
Offener Ring 12/13,"2,40"
Offener Ring 14/15,"2,40"
Offener Ring 16/17,"2,40"
Offener Ring 18/19,"2,40"
Offener Ring 8/9,"2,40"
Rohrschneider Br,"2,50"
Schlagschrauber Mech,"3,50"
Abzieher Gr,"5,00"
Achsm. Zange VW,"5,00"
Achsman. zange Uni,"3,00"
Achsmansch Konus,"5,00"
Antrieb Ausdruecker,"8,00"
Axialgelenk Werkzeug,"4,00"
Druckstuecke,"4,00"
Federspanner,"10,00"
Federspanner MB,"10,00"
Federspanner XL,"15,00"
Getriebeheber,"4,00"
Getriebeheber XL,"7,50"
Gleithammer 10kg,"6,50"
LagerfettF,"4,00"
MB Traggelenk Werk,"7,50"
MB Zapfenschluessel,"3,50"
Mewa LappenF,"0,60"
Querlenker KS Tools,"7,50"
Radlagerwerkzeug,"8,00"
Rohr Verlaengerung,"0,60"
RostloeserF,"9,99"
Silentlager Werkzeug,"8,00"
Spreiznuss,"2,40"
Spurstangenkopf Abz,"3,00"
Stange / Rohr,"0,80"
Stoßdämpferkoffer,"7,50"
Traggelenkwerkzeug,"7,50"
Trenngabel Satz,"4,00"
Uni Achsmans Band,"4,00"
Uni Achsmanschette,"19,00"
VW Querlenk Wkzg,"19,99"
Werkstattpresse,"7,50"
Absaug inkl Altoel,"9,00"
Absaugpumpe klein,"2,40"
Altoel + Filter,"5,00"
Auffangbehälter,"2,40"
DichtringG,"1,20"
DichtringGL,"3,20"
Dichtungsring K,"1,20"
Frostschutz Entsorg,"6,00"
Mewa LappenO,"0,60"
Oelablass Opel,"8,00"
Oelablasssch MB,"12,50"
Oelablasssch VW M,"4,50"
Oelablasssch VW P,"9,00"
Oeldienstschluessel,"2,00"
Oelfilterband,"2,00"
Oelfilterentsorgung,"2,00"
Oelfilterglocke,"2,00"
Oelfilterkette,"2,00"
Oelfilterschl Ford,"4,00"
Oelfilterzange,"2,00"
Oelkanne Gr,"1,20"
Oelmessstab,"2,40"
Quetschring,"1,40"
Service Rueck BMW,"3,00"
Trichter Gr,"0,90"
Vielzahnnuss 30,"2,00"
Vielzahnnuss 32,"2,00"
Vielzahnnuss 34,"2,00"
Vielzahnnuss 36,"2,00"
Filterzange kraffi,"3,00"
Gluehkerzenschlag,"8,00"
Injektor-Fraeser,"7,50"
Injektorwerkzeug,"12,00"
Kompressionstester,"10,00"
Kraftstoffmessgeraet,"10,00"
Kuehlerpresse,"6,00"
Lambda Schluessel,"3,50"
Lima Freilaufwerk,"8,00"
Motorbruecke,"7,50"
Motoreinst 1.2TSI,"20,00"
Motoreinst 1.8TFSI,"20,00"
Motoreinst Satz,"20,00"
Motoreinst TFSI,"20,00"
Motorkran,"7,50"
Motorkran Balancer,"4,00"
SAC Kupplungswerk,"20,00"
Steuerkettenwerkzeug,"20,00"
Turboabdruck-Set,"8,00"
Visko Schl. 32,"3,00"
Visko Schl. 36,"3,00"
Visko Schl. 41,"3,00"
Visko Schl. 46,"3,00"
Zahnriemen Opel,"20,00"
Zahnriemen Renault,"20,00"
Zahnriemenwerkzeug,"20,00"
Zentrierdorn Satz,"5,00"
Zuendkabelzange,"3,00"
Zuendspulenwerkzeug,"4,00"
GetriebeölMessstab,"3,00"
Getriebeoelpumpe +,"7,50"
Getriebeoelpumpe Gr,"7,50"
Getriebeoelpumpe Kl,"3,50"
Getriebeoelspritze,"3,50"
Kupplungszentrierer,"5,00"
Absetz-Lochzange,"5,00"
Abzieher Wischer,"3,50"
Ausbeulsatz,"15,00"
Karosseriepresse,"20,00"
Kartuschenpr Pneu,"4,00"
Kartuschenpresse,"2,50"
Nietenzange,"3,00"
Schaber,"1,20"
Schleifklotz,"1,20"
Schraubzwinge,"2,00"
Senker,"3,00"
UBS-Pistole,"4,00"
UBS-Reiniger,"3,00"
UBS-Spraydose,"10,00"
Unterboden Spray,"10,00"
Unterdruckpumpe V,"7,50"
Unterstellbock,"2,50"
Bremsenpaste an,"2,40"
Bremsenreiniger,"4,99"
Cuttermesser,"2,50"
DPF-Reiniger,"29,99"
Faecherscheibe an,"3,00"
Faecherscheibe neu,"7,00"
Fett mit Pinsel,"2,40"
Fettspray,"11,99"
Firegum,"7,00"
Gehaeusedichtung an,"5,00"
Handschuhe,"5,00"
