Bez2,PREIS1,Hauptgruppe,Bez Taste Gruppe
Hebebuehne PKW,"13,00/h",Leihgeräte,Zeitartikel
Hebebuehne LLKW,"18,00/h",Leihgeräte,Zeitartikel
Arbeitsplatz,"8,50/h",Leihgeräte,Zeitartikel
Schweissger MIG,"12,50/h",Leihgeräte,Zeitartikel
Muell,"2,50",Leihgeräte,Zeitartikel
Reinigung,"10,00",Leihgeräte,Zeitartikel
PKWTagespausch,"104,00",Leihgeräte,Zeitartikel
LLKWTagespausch,"144,00",Leihgeräte,Zeitartikel
Altreifenentsorgung 1x,"6,00",Gruppen,Reifen
Altreifenentsorgung 4x,"24,00",Gruppen,Reifen
Auswuchtgewichte 1x,"1,50",Gruppen,Reifen
Auswuchtgewichtzange,"1,20",Gruppen,Reifen
Drehmomentschlüssel,"1,80",Gruppen,Reifen
Felgenschloß Knacker,"7,00",Gruppen,Reifen
Luftschlauch,"1,60",Gruppen,Reifen
Montier-Set Reifen,"2,40",Gruppen,Reifen
Montierhebel,"1,20",Gruppen,Reifen
Montiermaschine 1x,"3,50",Gruppen,Reifen
Montiermaschine 4x,"14,00",Gruppen,Reifen
Nuss 17,"1,40",Gruppen,Reifen
Nuss 19,"1,40",Gruppen,Reifen
Nuss 21,"1,40",Gruppen,Reifen
Nuss 22,"1,40",Gruppen,Reifen
Reifenfüller,"1,60",Gruppen,Reifen
Reifenreparatur Set DYS,"15,00",Gruppen,Reifen
Reifenventil,"0,80",Gruppen,Reifen
Reifenventil RDKS,"5,00",Gruppen,Reifen
Reifenwulstsetzer (Bazooka),"5,00",Gruppen,Reifen
Schlagschrauber + Schlauch,"4,00",Gruppen,Reifen
Schlagschrauber,"3,60",Gruppen,Reifen
Wuchtmaschine 1x,"4,00",Gruppen,Reifen
Wuchtmaschine 4x,"16,00",Gruppen,Reifen
Bremsen Bördelgerät,"7,00",Gruppen,Bremsen
BremsleitungsBiege-Zange,"3,60",Gruppen,Bremsen
Bremsleitungsschlüssel 10/11,"2,40",Gruppen,Bremsen
Bremsleitungsschlüssel 12/13,"2,40",Gruppen,Bremsen
Bremsleitungsschlüssel 14/15,"2,40",Gruppen,Bremsen
Bremsleitungsschlüssel 16/17,"2,40",Gruppen,Bremsen
Bremsleitungsschlüssel 18/19,"2,40",Gruppen,Bremsen
Bremsleitungsschlüssel 8/9,"2,40",Gruppen,Bremsen
Bremsenentlüfter + Adapter,"10,00",Gruppen,Bremsen
Bremsenentlüfter Flasche,"2,00",Gruppen,Bremsen
Bremsfederdrücker,"2,40",Gruppen,Bremsen
Bremsfederzange,"5,00",Gruppen,Bremsen
Bremsflüssigkeitsentsorgung,"4,00",Gruppen,Bremsen
Bremsflüssigkeitstester,"2,40",Gruppen,Bremsen
Bremskolbenrücksteller,"4,00",Gruppen,Bremsen
Bremspedalhalter,"4,00",Gruppen,Bremsen
Bremssattelfeile,"1,60",Gruppen,Bremsen
Bremssattelhaken,"2,00",Gruppen,Bremsen
Bremsscheibenmessschieber,"2,50",Gruppen,Bremsen
Bremsschlauchklemme Groß,"2,00",Gruppen,Bremsen
Bremsschlauchklemme Klein,"2,00",Gruppen,Bremsen
Drahtbürste,"1,60",Gruppen,Bremsen
Feststellbremse Anlernen,"30,00",Gruppen,Bremsen
Offener Ringschlüssel 10/11,"2,40",Gruppen,Bremsen
